order_id,product_id,add_to_cart_order,reordered
4552,27,4,0
4552,141,16,1
4552,76,11,1
4552,16,4,0
4552,293,18,0
4552,181,18,1
4552,174,10,0
2485,252,4,0
2485,129,3,0
1546,67,1,0
1546,37,10,1
1546,134,12,0
1546,202,12,0
1546,20,12,0
1546,323,14,0
2078,411,3,1
2078,139,12,0
1828,283,14,0
1828,487,17,0
1828,256,13,0
1828,411,16,1
1828,78,13,1
1828,221,12,1
1828,159,16,0
1828,192,19,0
1409,59,6,0
1409,299,4,0
1409,280,18,0
1409,137,5,1
1354,411,17,0
1354,65,7,1
1354,307,3,0
1354,236,18,0
1354,351,13,1
1354,152,14,0
1354,144,13,0
1354,224,13,0
2122,271,8,1
2122,355,7,0
2122,234,15,0
2122,145,11,0
2122,251,19,1
2122,238,2,1
4153,54,4,0
4153,199,4,0
4153,159,4,1
4153,1,6,0
693,337,7,1
693,191,8,1
693,276,13,0
693,373,6,0
693,400,11,1
3836,472,7,0
3836,401,10,0
1175,366,19,1
1175,206,9,0
1175,484,11,0
3624,181,9,0
3624,171,9,0
3624,461,6,0
3624,255,3,0
4730,70,9,1
4730,374,14,0
4730,373,6,0
4730,148,13,0
4730,300,8,1
4730,421,6,1
4730,206,6,0
1830,334,19,0
1830,178,5,0
1830,25,1,1
4800,314,14,1
4800,54,3,0
4800,116,1,0
4800,96,4,1
2418,453,1,0
2418,8,16,0
2418,331,10,0
2418,426,9,0
2418,46,4,0
2418,309,16,0
2418,208,4,0
1590,40,10,1
1590,60,15,1
1590,122,4,1
1590,371,11,1
1590,343,9,0
1590,477,17,1
1590,2,15,0
1244,303,11,0
1244,482,13,1
1244,208,8,0
1244,126,17,0
5000,226,3,0
5000,352,9,1
3384,296,1,0
3384,489,8,0
4258,276,18,1
4258,431,7,0
4258,178,4,1
4258,378,15,0
4258,485,8,1
4139,309,8,0
4139,138,3,1
4139,218,10,0
1109,104,13,0
1109,186,10,0
3568,153,11,0
3568,99,13,0
3568,67,3,0
3568,455,10,0
3568,262,13,0
3568,385,11,0
3568,98,14,0
776,242,16,0
776,473,3,1
776,500,19,1
776,174,15,0
776,121,10,0
776,206,3,0
776,360,18,0
594,266,10,0
594,242,11,0
594,35,7,0
594,457,16,1
594,366,5,1
2455,425,1,0
2455,84,18,0
2455,295,6,0
2455,153,15,0
2455,14,5,0
1975,234,13,1
1975,165,7,0
1975,478,19,1
1975,468,12,0
1975,14,13,1
1975,190,2,0
1975,86,15,0
1975,273,2,0
1975,265,8,0
504,344,10,0
504,420,8,0
504,304,2,0
504,176,9,0
504,255,14,0
504,80,7,0
504,410,19,0
981,146,2,0
981,347,18,1
981,15,18,1
981,495,8,0
981,129,2,0
981,346,11,0
981,204,10,0
981,316,8,1
981,155,3,0
2147,119,1,0
2147,178,11,1
2147,242,7,1
2147,57,15,0
2147,87,10,0
2147,100,15,0
3008,284,12,1
3008,248,1,0
4521,63,1,1
4521,417,8,1
4521,440,11,1
4521,153,5,0
4521,345,9,0
1922,256,13,0
1922,317,5,0
1922,277,10,0
469,222,13,0
469,52,10,1
469,136,3,0
469,477,1,0
469,48,16,1
469,357,18,0
469,453,7,0
469,56,11,1
469,360,5,0
4363,331,17,1
4363,123,11,0
4363,288,17,0
4363,457,12,0
2013,335,14,0
2013,135,15,1
2013,362,1,0
2013,43,7,0
2588,215,10,0
2588,205,1,0
2588,475,17,0
2588,491,18,0
2588,140,14,0
2588,190,8,0
2588,279,5,1
2588,165,9,1
2588,330,10,0
3718,386,9,0
3718,130,11,0
3718,140,16,0
3718,460,16,1
3718,206,3,0
3718,255,11,1
3718,293,5,0
3718,168,18,1
3524,201,14,0
3524,147,9,0
3524,131,2,0
3524,5,10,0
3524,417,10,0
3524,383,14,0
3524,390,13,0
3899,99,6,0
2128,487,9,0
2128,430,1,1
2128,96,19,0
2128,451,17,0
3467,215,1,0
3467,493,3,0
2645,284,4,0
2645,22,11,0
2645,120,19,0
3690,474,14,1
3690,46,1,0
3690,377,2,1
3690,468,14,0
3690,463,6,1
3690,13,18,0
3690,58,15,1
3690,53,6,1
2514,250,2,0
2514,393,9,1
2514,337,10,1
2908,147,5,0
2908,411,15,0
2908,217,13,0
2908,245,2,1
2908,426,19,0
1928,250,13,0
1928,453,16,1
1928,148,11,0
1928,106,11,0
1928,163,6,0
1928,130,11,0
1573,390,11,0
1573,120,7,0
1573,205,8,0
1573,97,7,0
1573,43,9,0
1573,178,18,1
1573,32,3,0
1573,89,8,0
1573,15,6,0
2911,483,13,0
2911,133,2,1
617,250,15,1
617,33,11,0
4050,66,5,1
4050,452,1,1
4050,33,6,1
4050,28,19,1
3372,101,14,1
3372,26,4,0
4883,127,2,0
4883,465,3,1
4883,331,18,0
4883,442,13,0
4883,219,3,0
4883,144,5,0
4883,197,10,0
4883,339,13,1
532,215,15,0
532,265,16,0
3385,12,3,0
3385,466,4,0
887,438,9,1
887,347,14,0
429,448,13,0
429,153,1,0
429,43,10,0
429,88,7,1
429,195,16,0
2968,255,14,0
2351,310,3,1
2351,85,8,0
2351,437,8,1
2351,73,12,0
2351,333,2,0
2351,150,3,0
2351,230,2,0
2351,236,14,1
927,450,19,0
927,424,15,0
927,103,8,0
927,213,6,1
927,452,9,0
927,42,17,0
775,366,4,1
775,135,11,0
4683,76,18,0
4683,428,4,1
4683,147,15,0
4683,308,5,0
4683,237,16,0
4683,488,5,0
4683,162,12,0
4683,202,17,0
911,282,3,0
911,340,18,1
2316,410,1,0
2316,90,10,0
2316,178,6,1
2316,49,12,0
2407,88,2,0
2407,283,3,1
2407,72,1,1
2407,410,19,0
2407,235,14,0
313,352,11,0
313,377,4,0
4233,16,18,0
4233,499,15,0
4233,192,15,0
4233,442,12,0
4233,97,7,0
1104,146,12,0
1104,199,19,1
1104,441,13,0
1104,254,4,1
1104,496,18,0
1104,475,2,0
1104,176,18,1
1104,204,10,0
1104,125,4,0
1193,83,18,0
1193,214,11,0
1193,125,18,0
1193,488,6,1
1193,351,2,0
4526,231,2,1
4526,270,2,0
4526,274,10,1
4526,496,2,0
4526,195,2,1
4526,178,17,1
4373,496,16,0
4373,384,3,0
4373,439,8,0
4373,27,6,0
4373,473,8,1
384,459,11,1
384,225,1,1
384,127,4,0
384,326,14,0
384,499,8,0
2448,288,5,1
2448,323,5,0
2448,494,6,1
2266,323,16,0
2266,136,3,0
2266,115,11,1
2266,52,14,1
